EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2249039;1;01/08/1982;1;;;;;0;0;0;;0;;;;;;;0,0;3,6;0,0;;5,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;0,0;6,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/07/1982;1;;;;;0;0;0;;0;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;;;0,0;;;;15,4;;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/06/1982;1;;;;;0;0;0;;0;0,0;0,0;;0,0;0,2;0,0;0,0;;0,0;0,0;8,3;58,6;21,0;;0,0;;0,0;0,0;0,0;;;4,7;6,0;0,0;;2,7;0,0;0,0;;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/05/1982;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;12,0;0,0;0,0;4,3;;40,4;2,6;0,0;0,0;;0,0;6,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/04/1982;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;;;33,4;0,0;31,6;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/03/1982;1;;;;;0;0;0;;0;;28,2;0,0;0,0;0,0;0,0;0,0;0,0;;16,6;42,0;41,7;;;21,4;41,9;;17,1;23,6;0,0;0,0;25,3;1,2;;0,2;3,2;0,0;0,0;0,0;1,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/02/1982;1;;;;;0;0;0;;0;;5,6;3,1;0,0;8,8;10,6;2,2;;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;;2,1;0,0;0,0;0,0;2,9;46,0;22,6;0,0;2,9;27,7;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/01/1982;1;;;;;0;0;0;;0;0,0;15,7;;0,0;0,0;0,0;0,0;;0,9;38,0;42,4;;0,0;0,0;0,0;;;0,0;0,0;;0,5;0,0;17,3;0,0;;0,0;0,5;;10,4;41,0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/12/1981;1;;;;;0;0;0;;0;0,8;0,0;0,0;0,0;;;4,0;4,0;;20,2;;0,0;;7,4;0,0;0,4;0,9;0,0;0,0;0,0;0,0;;;;86,0;0,0;0,0;;0,0;;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/11/1981;1;;;;;0;0;0;;0;3,0;0,0;4,6;2,6;0,0;0,0;0,0;27,0;;5,9;0,0;0,0;0,0;;0,0;0,0;12,4;0,0;31,0;50,6;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/10/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;;18,9;37,2;0,6;1,7;;15,6;0,0;17,6;0,0;0,0;;0,0;0,0;;45,3;0,0;0,0;0,0;0,0;0,0;2,6;19,4;15,6;0,6;11,2;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/09/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,3;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;11,8;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/08/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1,0;0,0;2,0;0,0;0,0;0,0;0,0;;4,0;24,6;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/07/1981;1;;;;;0;0;0;;0;0,0;0,0;1,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,2;;;;;;;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/06/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;16,6;46,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;14,6;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/05/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;1,9;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/04/1981;1;;;;;0;0;0;;0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,3;0,0;11,2;0,0;41,2;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/03/1981;1;;;;;0;0;0;;0;0,0;0,0;0,0;2,2;1,4;0,7;0,5;7,8;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;7,2;9,8;11,9;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/02/1981;1;;;;;0;0;0;;0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;;13,8;0,0;0,0;;20,2;0,0;0,0;0,0;1,7;0,0;0,0;1,4;29,1;9,7;1,2;0,0;;2,1;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/01/1981;1;;;;;0;0;0;;0;0,0;0,0;1,9;0,9;10,0;;2,0;24,7;0,0;19,6;7,0;;9,0;6,6;14,6;0,0;0,0;0,0;0,0;0,0;;30,7;0,0;0,0;0,0;;0,1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/12/1980;1;;;;;0;0;0;;0;22,7;64,7;0,0;11,4;10,6;13,7;;7,9;0,0;0,0;0,0;26,8;27,2;5,2;0,0;0,0;0,0;0,0;0,0;0,0;14,2;;1,3;0,8;0,0;12,6;0,0;17,8;23,0;4,0;20,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/11/1980;1;;;;;0;0;0;;0;0,0;0,0;0,0;;0,0;0,0;;25,0;8,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,6;28,8;4,2;0,0;0,0;0,0;29,3;16,2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/10/1980;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;;0,7;9,6;30,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;;0,0;;0,0;;0,0;0,0;0,0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/09/1980;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;5,0;2,6;0,0;0,0;2,6;2,0;1,8;0,8;0,0;14,2;;4,6;3,3;;0,0;0,0;0,0;0,0;0,0;11,2;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/08/1980;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;15,4;0,5;;0,2;0,0;0,0;;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;9,4;0,5;;0,0;0,0;;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/07/1980;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,2;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/06/1980;1;;;;;0;0;0;;0;0,0;0,0;5,2;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;;51,0;;0,0;;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/05/1980;1;;;;;0;0;0;;0;0,0;;;0,0;;;;0,0;0,0;0,0;16,4;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;11,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/04/1980;1;;;;;0;0;0;;0;0,0;;61,6;12,1;15,0;7,2;;0,0;0,4;1,6;0,2;1,4;0,0;;;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/03/1980;1;;;;;0;0;0;;0;4,7;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7;10,7;0,0;14,6;1,4;;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/02/1980;1;94,0;416,3;12;17;1;1;1;;0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;4,7;0,0;41,8;25,7;94,0;13,6;0,7;0,6;9,7;10,0;75,6;0,0;0,0;0,0;0,0;0,0;60,0;0,4;7,3;30,4;4,8;35,0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/01/1980;1;;;;;0;0;0;;0;14,3;0,0;0,0;0,0;0,0;1,0;28,0;15,6;2,2;;;0,0;0,0;0,0;0,0;0,0;0,0;3,7;2,0;;2,8;0,5;0,7;0,2;20,6;47,6;7,2;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/12/1979;1;;;;;0;0;0;;0;0,0;3,0;19,0;;;0,0;0,0;0,0;0,0;0,3;1,0;23,8;1,7;;;9,7;;0,0;0,0;55,0;2,1;19,9;26,4;5,0;8,6;9,0;3,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/11/1979;1;;;;;0;0;0;;0;0,0;10,0;23,4;0,0;0,0;0,0;0,3;10,3;;6,9;;0,0;0,0;0,0;4,8;0,0;0,0;;;0,0;0,0;0,0;;0,0;;17,7;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/10/1979;1;;;;;0;0;0;;0;22,6;0,0;0,5;0,0;0,0;0,0;4,0;14,6;7,2;;0,0;0,0;0,0;10,6;10,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;5,9;0,0;0,1;;27,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/09/1979;1;;;;;0;0;0;;0;0,0;;11,3;0,2;0,0;0,0;0,0;0,0;0,0;1,1;19,0;;0,0;20,4;8,0;15,6;;11,1;0,0;0,0;0,0;0,0;21,2;;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/08/1979;1;;;;;0;0;0;;0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;32,6;30,4;;1,0;;0,0;;0,0;;7,6;;0,0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/07/1979;1;;;;;0;0;0;;0;0,0;0,0;4,6;;0,0;;0,0;0,0;;9,4;0,0;;;0,0;;;;0,0;;;;0,0;;0,0;0,3;28,4;1,1;;0,0;;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/06/1979;1;;;;;0;0;0;;0;;;0,0;;;0,0;;;0,0;;;0,0;;;0,0;;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/05/1979;1;;;;;0;0;0;;0;0,0;0,0;;86,6;13,0;;;0,4;0,3;0,0;;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/04/1979;1;;;;;0;0;0;;0;0,0;;0,0;14,6;;1,2;;0,0;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;;;1,6;2,6;33,1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/03/1979;1;;;;;0;0;0;;0;0,0;0,0;;;;;7,8;13,2;4,1;0,0;;0,7;6,3;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/02/1979;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;6,5;;;9,2;1,2;0,0;0,0;0,1;0,0;0,0;0,0;0,0;1,8;1,3;0,0;0,0;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/01/1979;1;;;;;0;0;0;;0;3,4;;15,0;2,3;0,5;0,0;0,0;0,0;0,0;0,0;;2,6;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,1;9,6;4,9;90,4;0,6;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2249039;1;01/12/1978;1;53,4;173,8;27;15;1;1;1;;0;0,0;0,0;0,2;0,0;0,0;3,0;2,9;34,6;23,4;0,0;0,0;0,0;0,0;0,0;2,2;1,3;17,8;9,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;10,8;53,4;3,2;0,6;0,4;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
